,ANO,UF,CARGO,SIGLA,TOTAL,MULHERES,PARDOS,BRANCOS,PRETOS,AMARELOS,INDÍGENAS,MULHERES PARDAS,MULHERES BRANCAS,MULHERES PRETAS,MULHERES AMARELAS,MULHERES INDÍGENAS,%MULHERES,%PARDOS,%MULHERES ENTRE PARDOS,%BRANCOS,%MULHERES ENTRE BRANCOS,%PRETOS,%MULHERES ENTRE PRETOS,%AMARELOS,%MULHERES ENTRE AMARELOS,%INDÍGENAS,%MULHERES ENTRE INDÍGENAS
89,2014,AL,DEPUTADO FEDERAL,PTC,5,2,2,3,0,0,0,1,1,0,0,0,0.4,0.4,0.5,0.6,0.3333333333333333,0.0,,0.0,,0.0,
90,2014,AL,DEPUTADO FEDERAL,PP,9,4,2,5,2,0,0,1,1,2,0,0,0.4444444444444444,0.2222222222222222,0.5,0.5555555555555556,0.2,0.2222222222222222,1.0,0.0,,0.0,
91,2014,AL,DEPUTADO FEDERAL,PRTB,19,5,13,6,0,0,0,4,1,0,0,0,0.2631578947368421,0.6842105263157895,0.3076923076923077,0.3157894736842105,0.16666666666666666,0.0,,0.0,,0.0,
92,2014,AL,DEPUTADO FEDERAL,PMN,4,2,4,0,0,0,0,2,0,0,0,0,0.5,1.0,0.5,0.0,,0.0,,0.0,,0.0,
93,2014,AL,DEPUTADO FEDERAL,PRB,11,4,7,4,0,0,0,1,3,0,0,0,0.36363636363636365,0.6363636363636364,0.14285714285714285,0.36363636363636365,0.75,0.0,,0.0,,0.0,
94,2014,AL,DEPUTADO FEDERAL,SD,2,0,2,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
95,2014,AL,DEPUTADO FEDERAL,PSDC,2,0,2,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
96,2014,AL,DEPUTADO FEDERAL,DEM,4,0,2,2,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,,0.0,
97,2014,AL,DEPUTADO FEDERAL,PSC,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
98,2014,AL,DEPUTADO FEDERAL,PSD,2,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
99,2014,AL,DEPUTADO FEDERAL,PROS,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
