,ANO,UF,CARGO,TOTAL,MULHERES,PARDOS,BRANCOS,PRETOS,AMARELOS,INDÍGENAS,MULHERES PARDAS,MULHERES BRANCAS,MULHERES PRETAS,MULHERES AMARELAS,MULHERES INDÍGENAS,%MULHERES,%PARDOS,%MULHERES ENTRE PARDOS,%BRANCOS,%MULHERES ENTRE BRANCOS,%PRETOS,%MULHERES ENTRE PRETOS,%AMARELOS,%MULHERES ENTRE AMARELOS,%INDÍGENAS,%MULHERES ENTRE INDÍGENAS
108,2018,MA,DEPUTADO ESTADUAL,526,171,267,190,67,0,2,87,59,25,0,0,0.32509505703422054,0.5076045627376425,0.3258426966292135,0.3612167300380228,0.3105263157894737,0.12737642585551331,0.373134328358209,0.0,,0.0038022813688212928,0.0
109,2018,MA,DEPUTADO FEDERAL,206,69,96,84,25,0,1,32,26,11,0,0,0.33495145631067963,0.46601941747572817,0.3333333333333333,0.4077669902912621,0.30952380952380953,0.12135922330097088,0.44,0.0,,0.0048543689320388345,0.0
110,2018,MA,SENADOR,11,2,2,6,3,0,0,1,0,1,0,0,0.18181818181818182,0.18181818181818182,0.5,0.5454545454545454,0.0,0.2727272727272727,0.3333333333333333,0.0,,0.0,
111,2018,MT,DEPUTADO ESTADUAL,346,108,150,155,36,4,1,53,38,16,1,0,0.31213872832369943,0.43352601156069365,0.35333333333333333,0.4479768786127168,0.24516129032258063,0.10404624277456648,0.4444444444444444,0.011560693641618497,0.25,0.002890173410404624,0.0
112,2018,MT,DEPUTADO FEDERAL,141,49,59,64,14,2,2,19,19,9,2,0,0.3475177304964539,0.41843971631205673,0.3220338983050847,0.45390070921985815,0.296875,0.09929078014184398,0.6428571428571429,0.014184397163120567,1.0,0.014184397163120567,0.0
113,2018,MT,SENADOR,11,2,4,6,1,0,0,1,1,0,0,0,0.18181818181818182,0.36363636363636365,0.25,0.5454545454545454,0.16666666666666666,0.09090909090909091,0.0,0.0,,0.0,
114,2018,MS,DEPUTADO ESTADUAL,354,116,109,215,23,0,7,26,78,11,0,1,0.327683615819209,0.307909604519774,0.23853211009174313,0.6073446327683616,0.3627906976744186,0.06497175141242938,0.4782608695652174,0.0,,0.01977401129943503,0.14285714285714285
115,2018,MS,DEPUTADO FEDERAL,127,42,37,82,7,0,1,11,28,3,0,0,0.33070866141732286,0.29133858267716534,0.2972972972972973,0.6456692913385826,0.34146341463414637,0.05511811023622047,0.42857142857142855,0.0,,0.007874015748031496,0.0
116,2018,MS,SENADOR,14,1,0,13,0,0,1,0,1,0,0,0,0.07142857142857142,0.0,,0.9285714285714286,0.07692307692307693,0.0,,0.0,,0.07142857142857142,0.0
117,2018,MG,DEPUTADO ESTADUAL,1378,431,474,689,168,46,1,129,216,67,18,1,0.3127721335268505,0.3439767779390421,0.2721518987341772,0.5,0.3134978229317852,0.12191582002902758,0.39880952380952384,0.033381712626995644,0.391304347826087,0.000725689404934688,1.0
118,2018,MG,DEPUTADO FEDERAL,918,288,295,501,102,19,1,93,145,36,13,1,0.3137254901960784,0.3213507625272331,0.3152542372881356,0.545751633986928,0.2894211576846307,0.1111111111111111,0.35294117647058826,0.020697167755991286,0.6842105263157895,0.0010893246187363835,1.0
119,2018,MG,SENADOR,15,4,3,10,2,0,0,0,4,0,0,0,0.26666666666666666,0.2,0.0,0.6666666666666666,0.4,0.13333333333333333,0.0,0.0,,0.0,
120,2018,PA,DEPUTADO ESTADUAL,683,223,443,179,55,2,4,142,57,21,1,2,0.32650073206442165,0.6486090775988287,0.32054176072234764,0.26207906295754024,0.31843575418994413,0.08052708638360176,0.38181818181818183,0.0029282576866764276,0.5,0.005856515373352855,0.5
121,2018,PA,DEPUTADO FEDERAL,141,43,76,49,15,0,1,21,17,5,0,0,0.3049645390070922,0.5390070921985816,0.27631578947368424,0.3475177304964539,0.3469387755102041,0.10638297872340426,0.3333333333333333,0.0,,0.0070921985815602835,0.0
122,2018,PA,SENADOR,18,2,8,9,1,0,0,1,0,1,0,0,0.1111111111111111,0.4444444444444444,0.125,0.5,0.0,0.05555555555555555,1.0,0.0,,0.0,
123,2018,PB,DEPUTADO ESTADUAL,421,131,172,211,36,1,1,46,70,13,1,1,0.31116389548693585,0.4085510688836104,0.26744186046511625,0.501187648456057,0.33175355450236965,0.0855106888361045,0.3611111111111111,0.0023752969121140144,1.0,0.0023752969121140144,1.0
124,2018,PB,DEPUTADO FEDERAL,159,52,43,103,12,1,0,13,34,4,1,0,0.3270440251572327,0.27044025157232704,0.3023255813953488,0.6477987421383647,0.3300970873786408,0.07547169811320754,0.3333333333333333,0.006289308176100629,1.0,0.0,
125,2018,PB,SENADOR,7,1,1,6,0,0,0,0,1,0,0,0,0.14285714285714285,0.14285714285714285,0.0,0.8571428571428571,0.16666666666666666,0.0,,0.0,,0.0,
126,2018,PR,DEPUTADO ESTADUAL,763,235,66,657,38,1,1,15,209,11,0,0,0.30799475753604194,0.08650065530799476,0.22727272727272727,0.8610747051114024,0.3181126331811263,0.04980340760157274,0.2894736842105263,0.001310615989515072,0.0,0.001310615989515072,0.0
127,2018,PR,DEPUTADO FEDERAL,447,137,43,373,26,5,0,9,121,7,0,0,0.30648769574944074,0.09619686800894854,0.20930232558139536,0.8344519015659956,0.32439678284182305,0.058165548098434,0.2692307692307692,0.011185682326621925,0.0,0.0,
128,2018,PR,SENADOR,16,4,2,14,0,0,0,2,2,0,0,0,0.25,0.125,1.0,0.875,0.14285714285714285,0.0,,0.0,,0.0,
129,2018,PE,DEPUTADO ESTADUAL,679,210,272,319,84,2,2,86,94,29,0,1,0.30927835051546393,0.4005891016200295,0.3161764705882353,0.4698085419734904,0.2946708463949843,0.12371134020618557,0.34523809523809523,0.0029455081001472753,0.0,0.0029455081001472753,0.5
130,2018,PE,DEPUTADO FEDERAL,356,113,119,189,47,0,1,41,54,18,0,0,0.31741573033707865,0.3342696629213483,0.3445378151260504,0.5308988764044944,0.2857142857142857,0.13202247191011235,0.3829787234042553,0.0,,0.0028089887640449437,0.0
131,2018,PE,SENADOR,12,4,3,6,3,0,0,0,2,2,0,0,0.3333333333333333,0.25,0.0,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0,,0.0,
132,2018,PI,DEPUTADO ESTADUAL,215,68,112,78,25,0,0,34,23,11,0,0,0.31627906976744186,0.5209302325581395,0.30357142857142855,0.3627906976744186,0.2948717948717949,0.11627906976744186,0.44,0.0,,0.0,
133,2018,PI,DEPUTADO FEDERAL,141,47,70,61,9,1,0,20,22,5,0,0,0.3333333333333333,0.49645390070921985,0.2857142857142857,0.4326241134751773,0.36065573770491804,0.06382978723404255,0.5555555555555556,0.0070921985815602835,0.0,0.0,
134,2018,PI,SENADOR,18,2,7,9,2,0,0,1,1,0,0,0,0.1111111111111111,0.3888888888888889,0.14285714285714285,0.5,0.1111111111111111,0.1111111111111111,0.0,0.0,,0.0,
