,UF,CARGO,SG_PARTIDO,propor10,propor14,propor18,Variaçao 14-18,Variaçao 10-14,Variaçao 10-18
182,AP,DEPUTADO FEDERAL,PP,0.2,0.5,0.5,0.0,1.4999999999999998,1.4999999999999998
183,AP,DEPUTADO FEDERAL,PC do B,0.0,0.5,1.0,1.0,inf,inf
184,AP,DEPUTADO FEDERAL,PSDB,0.2,0.3333333333333333,0.5,0.5000000000000001,0.6666666666666665,1.4999999999999998
185,AP,DEPUTADO FEDERAL,PRP,0.75,0.0,0.5,inf,-1.0,-0.3333333333333333
186,AP,DEPUTADO FEDERAL,PMN,0.0,0.5,0.25,-0.5,inf,inf
187,AP,DEPUTADO FEDERAL,PSTU,0.0,0.5,0.5,0.0,inf,inf
188,AP,DEPUTADO FEDERAL,PR,1.0,0.0,0.25,inf,-1.0,-0.75
189,AP,DEPUTADO FEDERAL,PROS,0.0,0.0,0.0,,,
190,AP,DEPUTADO FEDERAL,PSD,0.0,0.375,0.3333333333333333,-0.11111111111111116,inf,inf
191,AP,DEPUTADO FEDERAL,PPL,0.0,0.3333333333333333,0.3333333333333333,0.0,inf,inf
192,AP,DEPUTADO FEDERAL,MDB,0.0,0.3333333333333333,0.4,0.20000000000000012,inf,inf
193,AP,DEPUTADO FEDERAL,PSL,0.0,0.3333333333333333,0.0,-1.0,inf,
194,AP,DEPUTADO FEDERAL,SOLIDARIEDADE,0.0,0.3333333333333333,0.3333333333333333,0.0,inf,inf
195,AP,DEPUTADO FEDERAL,AVANTE,0.0,0.3333333333333333,0.5,0.5000000000000001,inf,inf
196,AP,DEPUTADO FEDERAL,REDE,0.0,0.3333333333333333,0.14285714285714285,-0.5714285714285714,inf,inf
197,AP,DEPUTADO FEDERAL,PATRI,0.0,0.3333333333333333,0.0,-1.0,inf,
198,AP,DEPUTADO FEDERAL,DC,0.0,0.3333333333333333,1.0,2.0000000000000004,inf,inf
199,AP,DEPUTADO FEDERAL,PODE,0.0,0.3333333333333333,1.0,2.0000000000000004,inf,inf
200,AP,SENADOR,PSTU,0.0,0.0,0.0,,,
201,AP,SENADOR,PSB,0.0,0.0,1.0,inf,,inf
202,AP,SENADOR,PSDB,0.0,0.0,0.0,,,
203,AP,SENADOR,PTC,0.0,1.0,0.0,-1.0,inf,
204,AP,SENADOR,PCB,0.0,0.0,1.0,inf,,inf
205,AP,SENADOR,PMN,0.0,1.0,0.0,-1.0,inf,
206,AP,SENADOR,MDB,0.0,0.0,0.5,inf,,inf
207,AP,SENADOR,REDE,0.0,0.0,0.0,,,
208,AP,SENADOR,PSL,0.0,0.0,0.0,,,
209,AP,SENADOR,PPS,0.0,0.0,0.0,,,
210,AP,SENADOR,PTB,0.0,0.0,0.0,,,
211,AM,DEPUTADO ESTADUAL,PDT,0.2608695652173913,0.25,0.2631578947368421,0.05263157894736836,-0.04166666666666664,0.008771929824561375
212,AM,DEPUTADO ESTADUAL,PPS,0.23529411764705882,0.375,0.3,-0.20000000000000004,0.59375,0.27499999999999997
213,AM,DEPUTADO ESTADUAL,DEM,0.2857142857142857,0.40540540540540543,0.29411764705882354,-0.27450980392156865,0.4189189189189191,0.029411764705882443
214,AM,DEPUTADO ESTADUAL,PR,0.3181818181818182,0.3333333333333333,0.23529411764705882,-0.2941176470588235,0.047619047619047575,-0.2605042016806723
215,AM,DEPUTADO ESTADUAL,PSDB,0.3,0.3225806451612903,0.3333333333333333,0.033333333333333305,0.07526881720430109,0.11111111111111109
216,AM,DEPUTADO ESTADUAL,PT,0.3333333333333333,0.23076923076923078,0.2916666666666667,0.2638888888888889,-0.3076923076923076,-0.12499999999999989
217,AM,DEPUTADO ESTADUAL,PV,0.3448275862068966,0.36,0.3333333333333333,-0.0740740740740741,0.04399999999999989,-0.03333333333333345
218,AM,DEPUTADO ESTADUAL,PRP,0.17391304347826086,0.29411764705882354,0.3,0.019999999999999928,0.6911764705882354,0.725
219,AM,DEPUTADO ESTADUAL,PMN,0.1111111111111111,0.3333333333333333,0.32653061224489793,-0.020408163265306145,2.0,1.9387755102040816
220,AM,DEPUTADO ESTADUAL,PP,0.3333333333333333,0.1875,0.2222222222222222,0.18518518518518512,-0.43749999999999994,-0.3333333333333333
221,AM,DEPUTADO ESTADUAL,PSB,0.3333333333333333,0.3181818181818182,0.375,0.1785714285714286,-0.045454545454545414,0.12500000000000006
222,AM,DEPUTADO ESTADUAL,PC do B,0.3,0.3181818181818182,0.2857142857142857,-0.10204081632653064,0.06060606060606063,-0.04761904761904764
223,AM,DEPUTADO ESTADUAL,PRB,0.5,0.4444444444444444,0.4,-0.0999999999999999,-0.11111111111111116,-0.19999999999999996
224,AM,DEPUTADO ESTADUAL,PSL,0.2777777777777778,0.2,0.25,0.24999999999999994,-0.27999999999999997,-0.10000000000000003
225,AM,DEPUTADO ESTADUAL,PSOL,0.0,0.32,0.34375,0.07421874999999997,inf,inf
226,AM,DEPUTADO ESTADUAL,PTC,0.4,0.16666666666666666,0.29411764705882354,0.7647058823529413,-0.5833333333333334,-0.2647058823529412
227,AM,DEPUTADO ESTADUAL,PTB,0.5,0.18181818181818182,0.8,3.4,-0.6363636363636364,0.6000000000000001
228,AM,DEPUTADO ESTADUAL,PRTB,0.0,0.0,0.2727272727272727,inf,,inf
229,AM,DEPUTADO ESTADUAL,PHS,0.0,0.2727272727272727,0.24,-0.11999999999999997,inf,inf
230,AM,DEPUTADO ESTADUAL,PSC,0.0,0.0,0.3333333333333333,inf,,inf
231,AM,DEPUTADO ESTADUAL,PSTU,1.0,0.3333333333333333,0.0,-1.0,-0.6666666666666667,-1.0
232,AM,DEPUTADO ESTADUAL,PSD,0.0,0.2,0.3333333333333333,0.6666666666666665,inf,inf
233,AM,DEPUTADO ESTADUAL,PROS,0.0,0.42105263157894735,0.1111111111111111,-0.7361111111111112,inf,inf
234,AM,DEPUTADO ESTADUAL,PPL,0.0,0.5294117647058824,0.5555555555555556,0.04938271604938275,inf,inf
235,AM,DEPUTADO ESTADUAL,AVANTE,0.0,0.0,0.28,inf,,inf
236,AM,DEPUTADO ESTADUAL,REDE,0.0,0.0,0.29411764705882354,inf,,inf
237,AM,DEPUTADO ESTADUAL,PATRI,0.0,0.0,0.3111111111111111,inf,,inf
238,AM,DEPUTADO ESTADUAL,DC,0.0,0.0,0.27586206896551724,inf,,inf
239,AM,DEPUTADO ESTADUAL,PODE,0.0,0.0,0.3333333333333333,inf,,inf
240,AM,DEPUTADO ESTADUAL,SOLIDARIEDADE,0.0,0.0,0.23529411764705882,inf,,inf
241,AM,DEPUTADO ESTADUAL,PMB,0.0,0.0,0.25,inf,,inf
242,AM,DEPUTADO ESTADUAL,MDB,0.0,0.0,0.35,inf,,inf
243,AM,DEPUTADO FEDERAL,PSB,0.3333333333333333,0.4,0.6666666666666666,0.6666666666666665,0.20000000000000012,1.0
244,AM,DEPUTADO FEDERAL,PT,0.5,0.42857142857142855,0.5,0.16666666666666674,-0.1428571428571429,0.0
245,AM,DEPUTADO FEDERAL,PTB,0.0,0.0,0.0,,,
