,ANO,UF,CARGO,PARTIDO,HOMENS,MULHERES,TOTAL,%MULHERES,%HOMENS
582,2010,AM,DEPUTADO ESTADUAL,PTB,8,8,16,0.5,0.5
583,2010,AM,DEPUTADO ESTADUAL,PRTB,3,0,3,0.0,1.0
584,2010,AM,DEPUTADO ESTADUAL,PHS,4,0,4,0.0,1.0
585,2010,AM,DEPUTADO ESTADUAL,PSC,4,0,4,0.0,1.0
586,2010,AM,DEPUTADO ESTADUAL,PSTU,0,1,1,1.0,0.0
587,2010,AM,DEPUTADO ESTADUAL,PCB,1,0,1,0.0,1.0
588,2010,AM,DEPUTADO FEDERAL,PSB,2,1,3,0.3333333333333333,0.6666666666666666
589,2010,AM,DEPUTADO FEDERAL,PT,1,1,2,0.5,0.5
590,2010,AM,DEPUTADO FEDERAL,PMDB,3,7,10,0.7,0.3
591,2010,AM,DEPUTADO FEDERAL,PT do B,3,2,5,0.4,0.6
592,2010,AM,DEPUTADO FEDERAL,PTB,3,0,3,0.0,1.0
593,2010,AM,DEPUTADO FEDERAL,PMN,3,0,3,0.0,1.0
594,2010,AM,DEPUTADO FEDERAL,PCB,1,0,1,0.0,1.0
595,2010,AM,DEPUTADO FEDERAL,PP,1,1,2,0.5,0.5
596,2010,AM,DEPUTADO FEDERAL,PSC,2,0,2,0.0,1.0
597,2010,AM,DEPUTADO FEDERAL,PR,3,0,3,0.0,1.0
598,2010,AM,DEPUTADO FEDERAL,DEM,2,1,3,0.3333333333333333,0.6666666666666666
599,2010,AM,DEPUTADO FEDERAL,PSDB,3,2,5,0.4,0.6
600,2010,AM,DEPUTADO FEDERAL,PRP,1,0,1,0.0,1.0
601,2010,AM,DEPUTADO FEDERAL,PHS,3,1,4,0.25,0.75
602,2010,AM,DEPUTADO FEDERAL,PV,5,3,8,0.375,0.625
603,2010,AM,DEPUTADO FEDERAL,PC do B,1,0,1,0.0,1.0
604,2010,AM,DEPUTADO FEDERAL,PSTU,1,0,1,0.0,1.0
605,2010,AM,DEPUTADO FEDERAL,PSOL,2,0,2,0.0,1.0
606,2010,AM,DEPUTADO FEDERAL,PRTB,1,0,1,0.0,1.0
607,2010,AM,DEPUTADO FEDERAL,PPS,2,1,3,0.3333333333333333,0.6666666666666666
608,2010,AM,DEPUTADO FEDERAL,PSL,3,1,4,0.25,0.75
609,2010,AM,DEPUTADO FEDERAL,PSDC,1,0,1,0.0,1.0
610,2010,AM,DEPUTADO FEDERAL,PDT,1,1,2,0.5,0.5
611,2010,AM,DEPUTADO FEDERAL,PRB,1,0,1,0.0,1.0
612,2010,AM,SENADOR,PSDB,1,0,1,0.0,1.0
613,2010,AM,SENADOR,PMDB,1,0,1,0.0,1.0
614,2010,AM,SENADOR,PSOL,2,0,2,0.0,1.0
615,2010,AM,SENADOR,PRB,1,0,1,0.0,1.0
616,2010,AM,SENADOR,PCB,1,0,1,0.0,1.0
617,2010,AM,SENADOR,PDT,1,0,1,0.0,1.0
618,2010,AM,SENADOR,PT,0,1,1,1.0,0.0
619,2010,AM,SENADOR,PSTU,1,0,1,0.0,1.0
620,2010,AM,SENADOR,PC do B,0,1,1,1.0,0.0
621,2014,AM,DEPUTADO ESTADUAL,DEM,22,15,37,0.40540540540540543,0.5945945945945946
622,2014,AM,DEPUTADO ESTADUAL,PSC,5,0,5,0.0,1.0
623,2014,AM,DEPUTADO ESTADUAL,PT do B,10,4,14,0.2857142857142857,0.7142857142857143
624,2014,AM,DEPUTADO ESTADUAL,PSD,8,2,10,0.2,0.8
625,2014,AM,DEPUTADO ESTADUAL,PROS,11,8,19,0.42105263157894735,0.5789473684210527
626,2014,AM,DEPUTADO ESTADUAL,PSDB,21,10,31,0.3225806451612903,0.6774193548387096
627,2014,AM,DEPUTADO ESTADUAL,PC do B,30,14,44,0.3181818181818182,0.6818181818181818
628,2014,AM,DEPUTADO ESTADUAL,PTC,15,3,18,0.16666666666666666,0.8333333333333334
629,2014,AM,DEPUTADO ESTADUAL,PTN,34,19,53,0.3584905660377358,0.6415094339622641
630,2014,AM,DEPUTADO ESTADUAL,PP,13,3,16,0.1875,0.8125
631,2014,AM,DEPUTADO ESTADUAL,PMDB,15,10,25,0.4,0.6
632,2014,AM,DEPUTADO ESTADUAL,PRB,5,4,9,0.4444444444444444,0.5555555555555556
633,2014,AM,DEPUTADO ESTADUAL,PT,10,3,13,0.23076923076923078,0.7692307692307693
634,2014,AM,DEPUTADO ESTADUAL,PPS,20,12,32,0.375,0.625
635,2014,AM,DEPUTADO ESTADUAL,PHS,16,6,22,0.2727272727272727,0.7272727272727273
636,2014,AM,DEPUTADO ESTADUAL,PV,32,18,50,0.36,0.64
637,2014,AM,DEPUTADO ESTADUAL,PSB,30,14,44,0.3181818181818182,0.6818181818181818
638,2014,AM,DEPUTADO ESTADUAL,PSDC,29,8,37,0.21621621621621623,0.7837837837837838
639,2014,AM,DEPUTADO ESTADUAL,PPL,8,9,17,0.5294117647058824,0.47058823529411764
640,2014,AM,DEPUTADO ESTADUAL,SD,3,2,5,0.4,0.6
641,2014,AM,DEPUTADO ESTADUAL,PR,10,5,15,0.3333333333333333,0.6666666666666666
642,2014,AM,DEPUTADO ESTADUAL,PCB,2,1,3,0.3333333333333333,0.6666666666666666
643,2014,AM,DEPUTADO ESTADUAL,PSOL,17,8,25,0.32,0.68
644,2014,AM,DEPUTADO ESTADUAL,PTB,9,2,11,0.18181818181818182,0.8181818181818182
645,2014,AM,DEPUTADO ESTADUAL,PDT,15,5,20,0.25,0.75
646,2014,AM,DEPUTADO ESTADUAL,PSL,12,3,15,0.2,0.8
647,2014,AM,DEPUTADO ESTADUAL,PSTU,2,1,3,0.3333333333333333,0.6666666666666666
648,2014,AM,DEPUTADO ESTADUAL,PMN,12,6,18,0.3333333333333333,0.6666666666666666
649,2014,AM,DEPUTADO ESTADUAL,PRP,12,5,17,0.29411764705882354,0.7058823529411765
650,2014,AM,DEPUTADO ESTADUAL,PEN,7,0,7,0.0,1.0
651,2014,AM,DEPUTADO ESTADUAL,PRTB,2,0,2,0.0,1.0
652,2014,AM,DEPUTADO FEDERAL,PHS,2,1,3,0.3333333333333333,0.6666666666666666
653,2014,AM,DEPUTADO FEDERAL,PV,1,1,2,0.5,0.5
654,2014,AM,DEPUTADO FEDERAL,PT,4,3,7,0.42857142857142855,0.5714285714285714
655,2014,AM,DEPUTADO FEDERAL,PMDB,3,1,4,0.25,0.75
656,2014,AM,DEPUTADO FEDERAL,PDT,4,0,4,0.0,1.0
657,2014,AM,DEPUTADO FEDERAL,PSB,3,2,5,0.4,0.6
658,2014,AM,DEPUTADO FEDERAL,PRP,10,4,14,0.2857142857142857,0.7142857142857143
659,2014,AM,DEPUTADO FEDERAL,PSD,4,1,5,0.2,0.8
660,2014,AM,DEPUTADO FEDERAL,PMN,2,1,3,0.3333333333333333,0.6666666666666666
661,2014,AM,DEPUTADO FEDERAL,PTN,1,1,2,0.5,0.5
662,2014,AM,DEPUTADO FEDERAL,DEM,1,0,1,0.0,1.0
663,2014,AM,DEPUTADO FEDERAL,PROS,1,1,2,0.5,0.5
664,2014,AM,DEPUTADO FEDERAL,PSOL,5,3,8,0.375,0.625
665,2014,AM,DEPUTADO FEDERAL,PT do B,0,1,1,1.0,0.0
666,2014,AM,DEPUTADO FEDERAL,PSC,0,1,1,1.0,0.0
667,2014,AM,DEPUTADO FEDERAL,PRB,1,3,4,0.75,0.25
668,2014,AM,DEPUTADO FEDERAL,PPS,1,0,1,0.0,1.0
669,2014,AM,DEPUTADO FEDERAL,PCB,1,1,2,0.5,0.5
670,2014,AM,DEPUTADO FEDERAL,PR,1,1,2,0.5,0.5
671,2014,AM,DEPUTADO FEDERAL,PTC,2,0,2,0.0,1.0
672,2014,AM,DEPUTADO FEDERAL,PTB,1,0,1,0.0,1.0
673,2014,AM,DEPUTADO FEDERAL,SD,0,1,1,1.0,0.0
674,2014,AM,DEPUTADO FEDERAL,PSL,1,0,1,0.0,1.0
675,2014,AM,DEPUTADO FEDERAL,PP,0,1,1,1.0,0.0
676,2014,AM,DEPUTADO FEDERAL,PSDB,1,0,1,0.0,1.0
677,2014,AM,DEPUTADO FEDERAL,PC do B,1,0,1,0.0,1.0
678,2014,AM,DEPUTADO FEDERAL,PSTU,1,1,2,0.5,0.5
679,2014,AM,DEPUTADO FEDERAL,PEN,1,0,1,0.0,1.0
680,2014,AM,DEPUTADO FEDERAL,PSDC,1,0,1,0.0,1.0
681,2014,AM,SENADOR,PSB,1,0,1,0.0,1.0
682,2014,AM,SENADOR,PT,1,0,1,0.0,1.0
683,2014,AM,SENADOR,PSTU,1,0,1,0.0,1.0
684,2014,AM,SENADOR,PMN,1,0,1,0.0,1.0
685,2014,AM,SENADOR,PSOL,1,0,1,0.0,1.0
686,2014,AM,SENADOR,PSD,1,0,1,0.0,1.0
687,2018,AM,DEPUTADO ESTADUAL,PHS,19,6,25,0.24,0.76
688,2018,AM,DEPUTADO ESTADUAL,PT,17,7,24,0.2916666666666667,0.7083333333333334
689,2018,AM,DEPUTADO ESTADUAL,PSL,15,5,20,0.25,0.75
690,2018,AM,DEPUTADO ESTADUAL,AVANTE,18,7,25,0.28,0.72
691,2018,AM,DEPUTADO ESTADUAL,PV,30,15,45,0.3333333333333333,0.6666666666666666
692,2018,AM,DEPUTADO ESTADUAL,REDE,12,5,17,0.29411764705882354,0.7058823529411765
693,2018,AM,DEPUTADO ESTADUAL,DEM,12,5,17,0.29411764705882354,0.7058823529411765
694,2018,AM,DEPUTADO ESTADUAL,PATRI,31,14,45,0.3111111111111111,0.6888888888888889
695,2018,AM,DEPUTADO ESTADUAL,PTB,1,4,5,0.8,0.2
696,2018,AM,DEPUTADO ESTADUAL,DC,21,8,29,0.27586206896551724,0.7241379310344828
697,2018,AM,DEPUTADO ESTADUAL,PPL,4,5,9,0.5555555555555556,0.4444444444444444
698,2018,AM,DEPUTADO ESTADUAL,PPS,28,12,40,0.3,0.7
699,2018,AM,DEPUTADO ESTADUAL,PSDB,12,6,18,0.3333333333333333,0.6666666666666666
700,2018,AM,DEPUTADO ESTADUAL,PMN,33,16,49,0.32653061224489793,0.673469387755102
701,2018,AM,DEPUTADO ESTADUAL,PSD,10,5,15,0.3333333333333333,0.6666666666666666
702,2018,AM,DEPUTADO ESTADUAL,PODE,20,10,30,0.3333333333333333,0.6666666666666666
703,2018,AM,DEPUTADO ESTADUAL,PSOL,21,11,32,0.34375,0.65625
704,2018,AM,DEPUTADO ESTADUAL,SOLIDARIEDADE,13,4,17,0.23529411764705882,0.7647058823529411
705,2018,AM,DEPUTADO ESTADUAL,PROS,8,1,9,0.1111111111111111,0.8888888888888888
706,2018,AM,DEPUTADO ESTADUAL,PSC,12,6,18,0.3333333333333333,0.6666666666666666
707,2018,AM,DEPUTADO ESTADUAL,PSB,20,12,32,0.375,0.625
708,2018,AM,DEPUTADO ESTADUAL,PRTB,8,3,11,0.2727272727272727,0.7272727272727273
709,2018,AM,DEPUTADO ESTADUAL,PC do B,15,6,21,0.2857142857142857,0.7142857142857143
710,2018,AM,DEPUTADO ESTADUAL,PRP,7,3,10,0.3,0.7
711,2018,AM,DEPUTADO ESTADUAL,PMB,3,1,4,0.25,0.75
712,2018,AM,DEPUTADO ESTADUAL,MDB,13,7,20,0.35,0.65
713,2018,AM,DEPUTADO ESTADUAL,PR,13,4,17,0.23529411764705882,0.7647058823529411
714,2018,AM,DEPUTADO ESTADUAL,PTC,12,5,17,0.29411764705882354,0.7058823529411765
715,2018,AM,DEPUTADO ESTADUAL,PDT,14,5,19,0.2631578947368421,0.7368421052631579
716,2018,AM,DEPUTADO ESTADUAL,PRB,3,2,5,0.4,0.6
