,UF,CARGO,SG_PARTIDO,COR,propor14,propor18,Variaçao 14-18
144,AC,DEPUTADO ESTADUAL,SD,INDÍGENA,0.0,0.0,
145,AC,DEPUTADO ESTADUAL,PMB,PARDA,0.0,0.875,inf
146,AC,DEPUTADO ESTADUAL,PMB,BRANCA,0.0,0.125,inf
147,AC,DEPUTADO ESTADUAL,PMB,PRETA,0.0,0.0,
148,AC,DEPUTADO ESTADUAL,PMB,AMARELA,0.0,0.0,
149,AC,DEPUTADO ESTADUAL,PMB,INDÍGENA,0.0,0.0,
150,AC,DEPUTADO ESTADUAL,PATRI,PARDA,0.0,0.3333333333333333,inf
151,AC,DEPUTADO ESTADUAL,PATRI,BRANCA,0.0,0.6666666666666666,inf
152,AC,DEPUTADO ESTADUAL,PATRI,PRETA,0.0,0.0,
153,AC,DEPUTADO ESTADUAL,PATRI,AMARELA,0.0,0.0,
154,AC,DEPUTADO ESTADUAL,PATRI,INDÍGENA,0.0,0.0,
155,AC,DEPUTADO ESTADUAL,MDB,PARDA,0.0,0.8235294117647058,inf
156,AC,DEPUTADO ESTADUAL,MDB,BRANCA,0.0,0.11764705882352941,inf
157,AC,DEPUTADO ESTADUAL,MDB,PRETA,0.0,0.058823529411764705,inf
158,AC,DEPUTADO ESTADUAL,MDB,AMARELA,0.0,0.0,
159,AC,DEPUTADO ESTADUAL,MDB,INDÍGENA,0.0,0.0,
160,AC,DEPUTADO ESTADUAL,DC,PARDA,0.0,0.8846153846153846,inf
161,AC,DEPUTADO ESTADUAL,DC,BRANCA,0.0,0.11538461538461539,inf
162,AC,DEPUTADO ESTADUAL,DC,PRETA,0.0,0.0,
163,AC,DEPUTADO ESTADUAL,DC,AMARELA,0.0,0.0,
164,AC,DEPUTADO ESTADUAL,DC,INDÍGENA,0.0,0.0,
165,AC,DEPUTADO ESTADUAL,REDE,PARDA,0.0,0.5,inf
166,AC,DEPUTADO ESTADUAL,REDE,BRANCA,0.0,0.4,inf
167,AC,DEPUTADO ESTADUAL,REDE,PRETA,0.0,0.1,inf
168,AC,DEPUTADO ESTADUAL,REDE,AMARELA,0.0,0.0,
169,AC,DEPUTADO ESTADUAL,REDE,INDÍGENA,0.0,0.0,
170,AC,DEPUTADO ESTADUAL,PODE,PARDA,0.0,0.8461538461538461,inf
171,AC,DEPUTADO ESTADUAL,PODE,BRANCA,0.0,0.0,
172,AC,DEPUTADO ESTADUAL,PODE,PRETA,0.0,0.15384615384615385,inf
173,AC,DEPUTADO ESTADUAL,PODE,AMARELA,0.0,0.0,
174,AC,DEPUTADO ESTADUAL,PODE,INDÍGENA,0.0,0.0,
175,AC,DEPUTADO ESTADUAL,SOLIDARIEDADE,PARDA,0.0,0.7916666666666666,inf
176,AC,DEPUTADO ESTADUAL,SOLIDARIEDADE,BRANCA,0.0,0.20833333333333334,inf
177,AC,DEPUTADO ESTADUAL,SOLIDARIEDADE,PRETA,0.0,0.0,
178,AC,DEPUTADO ESTADUAL,SOLIDARIEDADE,AMARELA,0.0,0.0,
179,AC,DEPUTADO ESTADUAL,SOLIDARIEDADE,INDÍGENA,0.0,0.0,
180,AC,DEPUTADO FEDERAL,PPS,PARDA,1.0,1.0,0.0
181,AC,DEPUTADO FEDERAL,PPS,BRANCA,0.0,0.0,
182,AC,DEPUTADO FEDERAL,PPS,PRETA,0.0,0.0,
183,AC,DEPUTADO FEDERAL,PPS,AMARELA,0.0,0.0,
184,AC,DEPUTADO FEDERAL,PPS,INDÍGENA,0.0,0.0,
185,AC,DEPUTADO FEDERAL,PSC,PARDA,0.0,1.0,inf
186,AC,DEPUTADO FEDERAL,PSC,BRANCA,0.0,0.0,
187,AC,DEPUTADO FEDERAL,PSC,PRETA,0.0,0.0,
188,AC,DEPUTADO FEDERAL,PSC,AMARELA,1.0,0.0,-1.0
189,AC,DEPUTADO FEDERAL,PSC,INDÍGENA,0.0,0.0,
190,AC,DEPUTADO FEDERAL,PMDB,PARDA,0.3333333333333333,0.0,-1.0
191,AC,DEPUTADO FEDERAL,PMDB,BRANCA,0.6666666666666666,0.0,-1.0
192,AC,DEPUTADO FEDERAL,PMDB,PRETA,0.0,0.0,
193,AC,DEPUTADO FEDERAL,PMDB,AMARELA,0.0,0.0,
194,AC,DEPUTADO FEDERAL,PMDB,INDÍGENA,0.0,0.0,
195,AC,DEPUTADO FEDERAL,PR,PARDA,1.0,1.0,0.0
196,AC,DEPUTADO FEDERAL,PR,BRANCA,0.0,0.0,
197,AC,DEPUTADO FEDERAL,PR,PRETA,0.0,0.0,
198,AC,DEPUTADO FEDERAL,PR,AMARELA,0.0,0.0,
199,AC,DEPUTADO FEDERAL,PR,INDÍGENA,0.0,0.0,
200,AC,DEPUTADO FEDERAL,PSDB,PARDA,0.6,0.0,-1.0
201,AC,DEPUTADO FEDERAL,PSDB,BRANCA,0.4,1.0,1.4999999999999998
202,AC,DEPUTADO FEDERAL,PSDB,PRETA,0.0,0.0,
203,AC,DEPUTADO FEDERAL,PSDB,AMARELA,0.0,0.0,
204,AC,DEPUTADO FEDERAL,PSDB,INDÍGENA,0.0,0.0,
205,AC,DEPUTADO FEDERAL,PTN,PARDA,1.0,0.0,-1.0
206,AC,DEPUTADO FEDERAL,PTN,BRANCA,0.0,0.0,
207,AC,DEPUTADO FEDERAL,PTN,PRETA,0.0,0.0,
208,AC,DEPUTADO FEDERAL,PTN,AMARELA,0.0,0.0,
209,AC,DEPUTADO FEDERAL,PTN,INDÍGENA,0.0,0.0,
210,AC,DEPUTADO FEDERAL,PT,PARDA,0.5454545454545454,0.6,0.10000000000000005
211,AC,DEPUTADO FEDERAL,PT,BRANCA,0.45454545454545453,0.2,-0.5599999999999999
212,AC,DEPUTADO FEDERAL,PT,PRETA,0.0,0.2,inf
213,AC,DEPUTADO FEDERAL,PT,AMARELA,0.0,0.0,
214,AC,DEPUTADO FEDERAL,PT,INDÍGENA,0.0,0.0,
215,AC,DEPUTADO FEDERAL,PRP,PARDA,1.0,1.0,0.0
216,AC,DEPUTADO FEDERAL,PRP,BRANCA,0.0,0.0,
217,AC,DEPUTADO FEDERAL,PRP,PRETA,0.0,0.0,
218,AC,DEPUTADO FEDERAL,PRP,AMARELA,0.0,0.0,
219,AC,DEPUTADO FEDERAL,PRP,INDÍGENA,0.0,0.0,
220,AC,DEPUTADO FEDERAL,PRTB,PARDA,0.0,1.0,inf
221,AC,DEPUTADO FEDERAL,PRTB,BRANCA,0.0,0.0,
222,AC,DEPUTADO FEDERAL,PRTB,PRETA,0.0,0.0,
223,AC,DEPUTADO FEDERAL,PRTB,AMARELA,0.0,0.0,
224,AC,DEPUTADO FEDERAL,PRTB,INDÍGENA,0.0,0.0,
225,AC,DEPUTADO FEDERAL,PSDC,PARDA,1.0,0.0,-1.0
226,AC,DEPUTADO FEDERAL,PSDC,BRANCA,0.0,0.0,
227,AC,DEPUTADO FEDERAL,PSDC,PRETA,0.0,0.0,
228,AC,DEPUTADO FEDERAL,PSDC,AMARELA,0.0,0.0,
229,AC,DEPUTADO FEDERAL,PSDC,INDÍGENA,0.0,0.0,
230,AC,DEPUTADO FEDERAL,PP,PARDA,0.5714285714285714,1.0,0.7500000000000001
231,AC,DEPUTADO FEDERAL,PP,BRANCA,0.42857142857142855,0.0,-1.0
232,AC,DEPUTADO FEDERAL,PP,PRETA,0.0,0.0,
233,AC,DEPUTADO FEDERAL,PP,AMARELA,0.0,0.0,
234,AC,DEPUTADO FEDERAL,PP,INDÍGENA,0.0,0.0,
235,AC,DEPUTADO FEDERAL,PTC,PARDA,0.0,1.0,inf
236,AC,DEPUTADO FEDERAL,PTC,BRANCA,0.0,0.0,
237,AC,DEPUTADO FEDERAL,PTC,PRETA,0.0,0.0,
238,AC,DEPUTADO FEDERAL,PTC,AMARELA,0.0,0.0,
239,AC,DEPUTADO FEDERAL,PTC,INDÍGENA,0.0,0.0,
240,AC,DEPUTADO FEDERAL,PV,PARDA,1.0,0.5,-0.5
241,AC,DEPUTADO FEDERAL,PV,BRANCA,0.0,0.5,inf
242,AC,DEPUTADO FEDERAL,PV,PRETA,0.0,0.0,
243,AC,DEPUTADO FEDERAL,PV,AMARELA,0.0,0.0,
244,AC,DEPUTADO FEDERAL,PV,INDÍGENA,0.0,0.0,
245,AC,DEPUTADO FEDERAL,PDT,PARDA,0.0,0.7647058823529411,inf
246,AC,DEPUTADO FEDERAL,PDT,BRANCA,1.0,0.11764705882352941,-0.8823529411764706
247,AC,DEPUTADO FEDERAL,PDT,PRETA,0.0,0.11764705882352941,inf
248,AC,DEPUTADO FEDERAL,PDT,AMARELA,0.0,0.0,
249,AC,DEPUTADO FEDERAL,PDT,INDÍGENA,0.0,0.0,
250,AC,DEPUTADO FEDERAL,PSB,PARDA,1.0,0.0,-1.0
251,AC,DEPUTADO FEDERAL,PSB,BRANCA,0.0,1.0,inf
252,AC,DEPUTADO FEDERAL,PSB,PRETA,0.0,0.0,
253,AC,DEPUTADO FEDERAL,PSB,AMARELA,0.0,0.0,
254,AC,DEPUTADO FEDERAL,PSB,INDÍGENA,0.0,0.0,
255,AC,DEPUTADO FEDERAL,DEM,PARDA,0.25,0.0,-1.0
256,AC,DEPUTADO FEDERAL,DEM,BRANCA,0.25,1.0,3.0
257,AC,DEPUTADO FEDERAL,DEM,PRETA,0.375,0.0,-1.0
258,AC,DEPUTADO FEDERAL,DEM,AMARELA,0.0,0.0,
259,AC,DEPUTADO FEDERAL,DEM,INDÍGENA,0.125,0.0,-1.0
260,AC,DEPUTADO FEDERAL,PC do B,PARDA,1.0,0.0,-1.0
261,AC,DEPUTADO FEDERAL,PC do B,BRANCA,0.0,1.0,inf
262,AC,DEPUTADO FEDERAL,PC do B,PRETA,0.0,0.0,
263,AC,DEPUTADO FEDERAL,PC do B,AMARELA,0.0,0.0,
264,AC,DEPUTADO FEDERAL,PC do B,INDÍGENA,0.0,0.0,
265,AC,DEPUTADO FEDERAL,PTB,PARDA,1.0,0.0,-1.0
266,AC,DEPUTADO FEDERAL,PTB,BRANCA,0.0,1.0,inf
267,AC,DEPUTADO FEDERAL,PTB,PRETA,0.0,0.0,
268,AC,DEPUTADO FEDERAL,PTB,AMARELA,0.0,0.0,
269,AC,DEPUTADO FEDERAL,PTB,INDÍGENA,0.0,0.0,
270,AC,DEPUTADO FEDERAL,PSOL,PARDA,0.6666666666666666,0.5,-0.24999999999999994
271,AC,DEPUTADO FEDERAL,PSOL,BRANCA,0.3333333333333333,0.25,-0.24999999999999994
272,AC,DEPUTADO FEDERAL,PSOL,PRETA,0.0,0.0,
273,AC,DEPUTADO FEDERAL,PSOL,AMARELA,0.0,0.0,
274,AC,DEPUTADO FEDERAL,PSOL,INDÍGENA,0.0,0.25,inf
275,AC,DEPUTADO FEDERAL,PMN,PARDA,0.0,1.0,inf
276,AC,DEPUTADO FEDERAL,PMN,BRANCA,0.0,0.0,
277,AC,DEPUTADO FEDERAL,PMN,PRETA,1.0,0.0,-1.0
278,AC,DEPUTADO FEDERAL,PMN,AMARELA,0.0,0.0,
279,AC,DEPUTADO FEDERAL,PMN,INDÍGENA,0.0,0.0,
280,AC,DEPUTADO FEDERAL,PRB,PARDA,0.0,1.0,inf
281,AC,DEPUTADO FEDERAL,PRB,BRANCA,1.0,0.0,-1.0
282,AC,DEPUTADO FEDERAL,PRB,PRETA,0.0,0.0,
283,AC,DEPUTADO FEDERAL,PRB,AMARELA,0.0,0.0,
284,AC,DEPUTADO FEDERAL,PRB,INDÍGENA,0.0,0.0,
285,AC,DEPUTADO FEDERAL,PT do B,PARDA,1.0,0.0,-1.0
286,AC,DEPUTADO FEDERAL,PT do B,BRANCA,0.0,0.0,
287,AC,DEPUTADO FEDERAL,PT do B,PRETA,0.0,0.0,
288,AC,DEPUTADO FEDERAL,PT do B,AMARELA,0.0,0.0,
289,AC,DEPUTADO FEDERAL,PT do B,INDÍGENA,0.0,0.0,
290,AC,DEPUTADO FEDERAL,SD,PARDA,1.0,0.0,-1.0
291,AC,DEPUTADO FEDERAL,SD,BRANCA,0.0,0.0,
292,AC,DEPUTADO FEDERAL,SD,PRETA,0.0,0.0,
293,AC,DEPUTADO FEDERAL,SD,AMARELA,0.0,0.0,
294,AC,DEPUTADO FEDERAL,SD,INDÍGENA,0.0,0.0,
295,AC,DEPUTADO FEDERAL,PSD,PARDA,0.25,0.0,-1.0
296,AC,DEPUTADO FEDERAL,PSD,BRANCA,0.75,1.0,0.3333333333333333
297,AC,DEPUTADO FEDERAL,PSD,PRETA,0.0,0.0,
298,AC,DEPUTADO FEDERAL,PSD,AMARELA,0.0,0.0,
299,AC,DEPUTADO FEDERAL,PSD,INDÍGENA,0.0,0.0,
300,AC,DEPUTADO FEDERAL,PSL,PARDA,1.0,0.375,-0.625
301,AC,DEPUTADO FEDERAL,PSL,BRANCA,0.0,0.625,inf
302,AC,DEPUTADO FEDERAL,PSL,PRETA,0.0,0.0,
303,AC,DEPUTADO FEDERAL,PSL,AMARELA,0.0,0.0,
