,ANO,UF,CARGO,PARTIDO,HOMENS,MULHERES,TOTAL,%MULHERES,%HOMENS
105,2014,AC,SENADOR,PSOL,1,0,1,0.0,1.0
106,2014,AC,SENADOR,PC do B,0,1,1,1.0,0.0
107,2014,AC,SENADOR,PMN,1,0,1,0.0,1.0
108,2018,AC,DEPUTADO ESTADUAL,PDT,19,9,28,0.32142857142857145,0.6785714285714286
109,2018,AC,DEPUTADO ESTADUAL,PRP,15,4,19,0.21052631578947367,0.7894736842105263
110,2018,AC,DEPUTADO ESTADUAL,DEM,11,5,16,0.3125,0.6875
111,2018,AC,DEPUTADO ESTADUAL,PRB,9,6,15,0.4,0.6
112,2018,AC,DEPUTADO ESTADUAL,PSDB,22,10,32,0.3125,0.6875
113,2018,AC,DEPUTADO ESTADUAL,PSL,22,8,30,0.26666666666666666,0.7333333333333333
114,2018,AC,DEPUTADO ESTADUAL,PP,18,10,28,0.35714285714285715,0.6428571428571429
115,2018,AC,DEPUTADO ESTADUAL,PPS,10,2,12,0.16666666666666666,0.8333333333333334
116,2018,AC,DEPUTADO ESTADUAL,PTB,19,9,28,0.32142857142857145,0.6785714285714286
117,2018,AC,DEPUTADO ESTADUAL,PMB,5,3,8,0.375,0.625
118,2018,AC,DEPUTADO ESTADUAL,PATRI,1,2,3,0.6666666666666666,0.3333333333333333
119,2018,AC,DEPUTADO ESTADUAL,MDB,10,7,17,0.4117647058823529,0.5882352941176471
120,2018,AC,DEPUTADO ESTADUAL,PT,13,7,20,0.35,0.65
121,2018,AC,DEPUTADO ESTADUAL,PSB,23,12,35,0.34285714285714286,0.6571428571428571
122,2018,AC,DEPUTADO ESTADUAL,PSC,7,4,11,0.36363636363636365,0.6363636363636364
123,2018,AC,DEPUTADO ESTADUAL,PSD,8,3,11,0.2727272727272727,0.7272727272727273
124,2018,AC,DEPUTADO ESTADUAL,PHS,16,6,22,0.2727272727272727,0.7272727272727273
125,2018,AC,DEPUTADO ESTADUAL,DC,17,9,26,0.34615384615384615,0.6538461538461539
126,2018,AC,DEPUTADO ESTADUAL,REDE,7,3,10,0.3,0.7
127,2018,AC,DEPUTADO ESTADUAL,PSOL,6,5,11,0.45454545454545453,0.5454545454545454
128,2018,AC,DEPUTADO ESTADUAL,PODE,11,2,13,0.15384615384615385,0.8461538461538461
129,2018,AC,DEPUTADO ESTADUAL,PC do B,3,2,5,0.4,0.6
130,2018,AC,DEPUTADO ESTADUAL,SOLIDARIEDADE,15,9,24,0.375,0.625
131,2018,AC,DEPUTADO ESTADUAL,PRTB,11,3,14,0.21428571428571427,0.7857142857142857
132,2018,AC,DEPUTADO ESTADUAL,PROS,5,3,8,0.375,0.625
133,2018,AC,DEPUTADO ESTADUAL,PV,6,4,10,0.4,0.6
134,2018,AC,DEPUTADO ESTADUAL,PTC,2,2,4,0.5,0.5
135,2018,AC,DEPUTADO ESTADUAL,PMN,2,2,4,0.5,0.5
136,2018,AC,DEPUTADO ESTADUAL,PR,3,0,3,0.0,1.0
137,2018,AC,DEPUTADO ESTADUAL,PPL,2,0,2,0.0,1.0
138,2018,AC,DEPUTADO FEDERAL,PSL,5,3,8,0.375,0.625
139,2018,AC,DEPUTADO FEDERAL,PDT,11,6,17,0.35294117647058826,0.6470588235294118
140,2018,AC,DEPUTADO FEDERAL,DC,2,1,3,0.3333333333333333,0.6666666666666666
141,2018,AC,DEPUTADO FEDERAL,PSDB,0,1,1,1.0,0.0
142,2018,AC,DEPUTADO FEDERAL,PROS,2,0,2,0.0,1.0
143,2018,AC,DEPUTADO FEDERAL,PRP,2,1,3,0.3333333333333333,0.6666666666666666
144,2018,AC,DEPUTADO FEDERAL,PPS,0,1,1,1.0,0.0
145,2018,AC,DEPUTADO FEDERAL,PP,3,0,3,0.0,1.0
146,2018,AC,DEPUTADO FEDERAL,AVANTE,6,3,9,0.3333333333333333,0.6666666666666666
147,2018,AC,DEPUTADO FEDERAL,PT,3,2,5,0.4,0.6
148,2018,AC,DEPUTADO FEDERAL,PC do B,0,1,1,1.0,0.0
149,2018,AC,DEPUTADO FEDERAL,MDB,3,1,4,0.25,0.75
150,2018,AC,DEPUTADO FEDERAL,PSOL,3,1,4,0.25,0.75
151,2018,AC,DEPUTADO FEDERAL,PTB,0,1,1,1.0,0.0
152,2018,AC,DEPUTADO FEDERAL,PV,1,1,2,0.5,0.5
153,2018,AC,DEPUTADO FEDERAL,PPL,1,0,1,0.0,1.0
154,2018,AC,DEPUTADO FEDERAL,PSB,1,0,1,0.0,1.0
155,2018,AC,DEPUTADO FEDERAL,PATRI,1,0,1,0.0,1.0
156,2018,AC,DEPUTADO FEDERAL,PODE,1,1,2,0.5,0.5
157,2018,AC,DEPUTADO FEDERAL,PHS,2,0,2,0.0,1.0
158,2018,AC,DEPUTADO FEDERAL,REDE,1,1,2,0.5,0.5
159,2018,AC,DEPUTADO FEDERAL,DEM,1,0,1,0.0,1.0
160,2018,AC,DEPUTADO FEDERAL,PRB,1,0,1,0.0,1.0
161,2018,AC,DEPUTADO FEDERAL,SOLIDARIEDADE,0,1,1,1.0,0.0
162,2018,AC,DEPUTADO FEDERAL,PSD,1,0,1,0.0,1.0
163,2018,AC,DEPUTADO FEDERAL,PRTB,1,1,2,0.5,0.5
164,2018,AC,DEPUTADO FEDERAL,PMB,0,1,1,1.0,0.0
165,2018,AC,DEPUTADO FEDERAL,PR,0,1,1,1.0,0.0
166,2018,AC,DEPUTADO FEDERAL,PTC,1,0,1,0.0,1.0
167,2018,AC,DEPUTADO FEDERAL,PMN,1,0,1,0.0,1.0
168,2018,AC,DEPUTADO FEDERAL,PSC,1,0,1,0.0,1.0
169,2018,AC,SENADOR,PT,2,0,2,0.0,1.0
170,2018,AC,SENADOR,PSD,1,0,1,0.0,1.0
171,2018,AC,SENADOR,REDE,1,0,1,0.0,1.0
172,2018,AC,SENADOR,PSL,1,0,1,0.0,1.0
173,2018,AC,SENADOR,MDB,1,0,1,0.0,1.0
174,2010,AL,DEPUTADO ESTADUAL,PRTB,18,2,20,0.1,0.9
