,UF,CARGO,COR,propor14,propor18,Variaçao 14-18
195,PA,DEPUTADO ESTADUAL,BRANCA,0.2846153846153846,0.26207906295754024,-0.07918167068972343
196,PA,DEPUTADO ESTADUAL,PRETA,0.08205128205128205,0.08052708638360176,-0.018576134699853558
197,PA,DEPUTADO ESTADUAL,PARDA,0.6128205128205129,0.6486090775988287,0.058399750056665985
198,PA,DEPUTADO ESTADUAL,AMARELA,0.01282051282051282,0.0029282576866764276,-0.7715959004392386
199,PA,DEPUTADO ESTADUAL,INDÍGENA,0.007692307692307693,0.005856515373352855,-0.23865300146412888
200,PA,DEPUTADO FEDERAL,BRANCA,0.3209302325581395,0.3475177304964539,0.08284510227155932
201,PA,DEPUTADO FEDERAL,PRETA,0.10232558139534884,0.10638297872340426,0.039651837524177974
202,PA,DEPUTADO FEDERAL,PARDA,0.5767441860465117,0.5390070921985816,-0.06543125142987882
203,PA,DEPUTADO FEDERAL,AMARELA,0.0,0.0,
204,PA,DEPUTADO FEDERAL,INDÍGENA,0.0,0.0070921985815602835,inf
205,PA,SENADOR,BRANCA,0.7272727272727273,0.5,-0.3125
206,PA,SENADOR,PRETA,0.0,0.05555555555555555,inf
207,PA,SENADOR,PARDA,0.2727272727272727,0.4444444444444444,0.6296296296296297
208,PA,SENADOR,AMARELA,0.0,0.0,
209,PA,SENADOR,INDÍGENA,0.0,0.0,
210,PB,DEPUTADO ESTADUAL,BRANCA,0.5422535211267606,0.501187648456057,-0.07573186908103781
211,PB,DEPUTADO ESTADUAL,PRETA,0.03755868544600939,0.0855106888361045,1.2767220902612824
212,PB,DEPUTADO ESTADUAL,PARDA,0.42018779342723006,0.4085510688836104,-0.027694104221128297
213,PB,DEPUTADO ESTADUAL,AMARELA,0.0,0.0023752969121140144,inf
214,PB,DEPUTADO ESTADUAL,INDÍGENA,0.0,0.0023752969121140144,inf
215,PB,DEPUTADO FEDERAL,BRANCA,0.5042735042735043,0.6477987421383647,0.2846178445794691
216,PB,DEPUTADO FEDERAL,PRETA,0.08547008547008547,0.07547169811320754,-0.11698113207547176
217,PB,DEPUTADO FEDERAL,PARDA,0.41025641025641024,0.27044025157232704,-0.3408018867924528
218,PB,DEPUTADO FEDERAL,AMARELA,0.0,0.006289308176100629,inf
219,PB,DEPUTADO FEDERAL,INDÍGENA,0.0,0.0,
220,PB,SENADOR,BRANCA,0.5,0.8571428571428571,0.7142857142857142
221,PB,SENADOR,PRETA,0.0,0.0,
222,PB,SENADOR,PARDA,0.5,0.14285714285714285,-0.7142857142857143
223,PB,SENADOR,AMARELA,0.0,0.0,
224,PB,SENADOR,INDÍGENA,0.0,0.0,
225,PR,DEPUTADO ESTADUAL,BRANCA,0.8156028368794326,0.8610747051114024,0.05575246452789341
226,PR,DEPUTADO ESTADUAL,PRETA,0.0591016548463357,0.04980340760157274,-0.15732634338138932
227,PR,DEPUTADO ESTADUAL,PARDA,0.12529550827423167,0.08650065530799476,-0.3096268453720417
228,PR,DEPUTADO ESTADUAL,AMARELA,0.0,0.001310615989515072,inf
229,PR,DEPUTADO ESTADUAL,INDÍGENA,0.0,0.001310615989515072,inf
230,PR,DEPUTADO FEDERAL,BRANCA,0.8430232558139535,0.8344519015659956,-0.010167399521715652
231,PR,DEPUTADO FEDERAL,PRETA,0.06686046511627906,0.058165548098434,-0.13004571539733487
232,PR,DEPUTADO FEDERAL,PARDA,0.08430232558139535,0.09619686800894854,0.14109388258890687
233,PR,DEPUTADO FEDERAL,AMARELA,0.0,0.011185682326621925,inf
234,PR,DEPUTADO FEDERAL,INDÍGENA,0.005813953488372093,0.0,-1.0
235,PR,SENADOR,BRANCA,0.875,0.875,0.0
236,PR,SENADOR,PRETA,0.125,0.0,-1.0
237,PR,SENADOR,PARDA,0.0,0.125,inf
238,PR,SENADOR,AMARELA,0.0,0.0,
239,PR,SENADOR,INDÍGENA,0.0,0.0,
240,PE,DEPUTADO ESTADUAL,BRANCA,0.40653357531760437,0.4698085419734904,0.15564511887229115
241,PE,DEPUTADO ESTADUAL,PRETA,0.06170598911070781,0.12371134020618557,1.004851425106125
242,PE,DEPUTADO ESTADUAL,PARDA,0.5117967332123412,0.4005891016200295,-0.2172886702388786
243,PE,DEPUTADO ESTADUAL,AMARELA,0.016333938294010888,0.0029455081001472753,-0.8196694485354279
244,PE,DEPUTADO ESTADUAL,INDÍGENA,0.003629764065335753,0.0029455081001472753,-0.18851251840942562
245,PE,DEPUTADO FEDERAL,BRANCA,0.4114285714285714,0.5308988764044944,0.29037921348314616
246,PE,DEPUTADO FEDERAL,PRETA,0.06285714285714286,0.13202247191011235,1.100357507660878
247,PE,DEPUTADO FEDERAL,PARDA,0.5142857142857142,0.3342696629213483,-0.35003121098626716
248,PE,DEPUTADO FEDERAL,AMARELA,0.005714285714285714,0.0,-1.0
249,PE,DEPUTADO FEDERAL,INDÍGENA,0.005714285714285714,0.0028089887640449437,-0.5084269662921348
250,PE,SENADOR,BRANCA,0.6,0.5,-0.16666666666666663
251,PE,SENADOR,PRETA,0.0,0.25,inf
252,PE,SENADOR,PARDA,0.4,0.25,-0.37500000000000006
253,PE,SENADOR,AMARELA,0.0,0.0,
254,PE,SENADOR,INDÍGENA,0.0,0.0,
255,PI,DEPUTADO ESTADUAL,BRANCA,0.3643410852713178,0.3627906976744186,-0.004255319148936056
256,PI,DEPUTADO ESTADUAL,PRETA,0.08914728682170543,0.11627906976744186,0.30434782608695643
