,UF,ANO,CARGO,DS,COR,CANDIDATOS_COR,TOTAL,% do Total
233,AL,2014,DEPUTADO ESTADUAL,PSD,PARDA,1,6,0.16666666666666666
234,AL,2014,DEPUTADO ESTADUAL,PT,BRANCA,8,26,0.3076923076923077
235,AL,2014,DEPUTADO ESTADUAL,PT,PRETA,2,26,0.07692307692307693
236,AL,2014,DEPUTADO ESTADUAL,PT,PARDA,16,26,0.6153846153846154
237,AL,2014,DEPUTADO ESTADUAL,PTB,BRANCA,3,17,0.17647058823529413
238,AL,2014,DEPUTADO ESTADUAL,PTB,PRETA,2,17,0.11764705882352941
239,AL,2014,DEPUTADO ESTADUAL,PTB,PARDA,12,17,0.7058823529411765
240,AL,2014,DEPUTADO ESTADUAL,PHS,BRANCA,1,19,0.05263157894736842
241,AL,2014,DEPUTADO ESTADUAL,PHS,PRETA,2,19,0.10526315789473684
242,AL,2014,DEPUTADO ESTADUAL,PHS,PARDA,15,19,0.7894736842105263
243,AL,2014,DEPUTADO ESTADUAL,PHS,INDÍGENA,1,19,0.05263157894736842
244,AL,2014,DEPUTADO ESTADUAL,PTC,BRANCA,4,13,0.3076923076923077
245,AL,2014,DEPUTADO ESTADUAL,PTC,PARDA,9,13,0.6923076923076923
246,AL,2014,DEPUTADO ESTADUAL,PMDB,BRANCA,5,23,0.21739130434782608
247,AL,2014,DEPUTADO ESTADUAL,PMDB,PRETA,4,23,0.17391304347826086
248,AL,2014,DEPUTADO ESTADUAL,PMDB,PARDA,14,23,0.6086956521739131
249,AL,2014,DEPUTADO ESTADUAL,PT do B,PARDA,9,9,1.0
250,AL,2014,DEPUTADO ESTADUAL,PP,BRANCA,9,14,0.6428571428571429
251,AL,2014,DEPUTADO ESTADUAL,PP,PARDA,5,14,0.35714285714285715
252,AL,2014,DEPUTADO ESTADUAL,DEM,BRANCA,3,6,0.5
253,AL,2014,DEPUTADO ESTADUAL,DEM,PARDA,3,6,0.5
254,AL,2014,DEPUTADO ESTADUAL,SD,BRANCA,3,9,0.3333333333333333
255,AL,2014,DEPUTADO ESTADUAL,SD,PRETA,2,9,0.2222222222222222
256,AL,2014,DEPUTADO ESTADUAL,SD,PARDA,4,9,0.4444444444444444
257,AL,2014,DEPUTADO ESTADUAL,PDT,BRANCA,6,17,0.35294117647058826
258,AL,2014,DEPUTADO ESTADUAL,PDT,PARDA,11,17,0.6470588235294118
259,AL,2014,DEPUTADO ESTADUAL,PROS,BRANCA,1,9,0.1111111111111111
260,AL,2014,DEPUTADO ESTADUAL,PROS,PARDA,8,9,0.8888888888888888
261,AL,2014,DEPUTADO ESTADUAL,PRTB,BRANCA,14,28,0.5
262,AL,2014,DEPUTADO ESTADUAL,PRTB,PARDA,14,28,0.5
263,AL,2014,DEPUTADO ESTADUAL,PRB,BRANCA,5,13,0.38461538461538464
264,AL,2014,DEPUTADO ESTADUAL,PRB,PRETA,1,13,0.07692307692307693
265,AL,2014,DEPUTADO ESTADUAL,PRB,PARDA,7,13,0.5384615384615384
266,AL,2014,DEPUTADO ESTADUAL,PSB,BRANCA,4,16,0.25
267,AL,2014,DEPUTADO ESTADUAL,PSB,PRETA,2,16,0.125
268,AL,2014,DEPUTADO ESTADUAL,PSB,PARDA,10,16,0.625
269,AL,2014,DEPUTADO ESTADUAL,PSDB,BRANCA,12,22,0.5454545454545454
270,AL,2014,DEPUTADO ESTADUAL,PSDB,PARDA,10,22,0.45454545454545453
271,AL,2014,DEPUTADO ESTADUAL,PPL,BRANCA,6,8,0.75
272,AL,2014,DEPUTADO ESTADUAL,PPL,PRETA,2,8,0.25
273,AL,2014,DEPUTADO ESTADUAL,PR,BRANCA,2,2,1.0
274,AL,2014,DEPUTADO ESTADUAL,PMN,BRANCA,1,5,0.2
275,AL,2014,DEPUTADO ESTADUAL,PMN,PARDA,4,5,0.8
276,AL,2014,DEPUTADO ESTADUAL,PV,BRANCA,4,7,0.5714285714285714
277,AL,2014,DEPUTADO ESTADUAL,PV,PRETA,1,7,0.14285714285714285
278,AL,2014,DEPUTADO ESTADUAL,PV,PARDA,2,7,0.2857142857142857
279,AL,2014,DEPUTADO ESTADUAL,PSC,BRANCA,1,2,0.5
280,AL,2014,DEPUTADO ESTADUAL,PSC,PARDA,1,2,0.5
281,AL,2014,DEPUTADO ESTADUAL,PSDC,PARDA,2,2,1.0
282,AL,2014,DEPUTADO ESTADUAL,PSTU,PARDA,1,1,1.0
283,AL,2014,DEPUTADO ESTADUAL,PC do B,PARDA,2,2,1.0
284,AL,2014,DEPUTADO FEDERAL,PPS,BRANCA,3,6,0.5
285,AL,2014,DEPUTADO FEDERAL,PPS,PARDA,3,6,0.5
286,AL,2014,DEPUTADO FEDERAL,PMDB,BRANCA,10,13,0.7692307692307693
287,AL,2014,DEPUTADO FEDERAL,PMDB,PARDA,3,13,0.23076923076923078
288,AL,2014,DEPUTADO FEDERAL,PCB,PARDA,1,1,1.0
289,AL,2014,DEPUTADO FEDERAL,PSOL,BRANCA,1,5,0.2
290,AL,2014,DEPUTADO FEDERAL,PSOL,PARDA,4,5,0.8
291,AL,2014,DEPUTADO FEDERAL,PSDB,BRANCA,7,14,0.5
292,AL,2014,DEPUTADO FEDERAL,PSDB,PRETA,2,14,0.14285714285714285
293,AL,2014,DEPUTADO FEDERAL,PSDB,PARDA,5,14,0.35714285714285715
294,AL,2014,DEPUTADO FEDERAL,PTC,BRANCA,3,5,0.6
295,AL,2014,DEPUTADO FEDERAL,PTC,PARDA,2,5,0.4
296,AL,2014,DEPUTADO FEDERAL,PP,BRANCA,5,9,0.5555555555555556
297,AL,2014,DEPUTADO FEDERAL,PP,PRETA,2,9,0.2222222222222222
298,AL,2014,DEPUTADO FEDERAL,PP,PARDA,2,9,0.2222222222222222
299,AL,2014,DEPUTADO FEDERAL,PRTB,BRANCA,6,19,0.3157894736842105
300,AL,2014,DEPUTADO FEDERAL,PRTB,PARDA,13,19,0.6842105263157895
301,AL,2014,DEPUTADO FEDERAL,PMN,PARDA,4,4,1.0
302,AL,2014,DEPUTADO FEDERAL,PRB,BRANCA,4,11,0.36363636363636365
303,AL,2014,DEPUTADO FEDERAL,PRB,PARDA,7,11,0.6363636363636364
304,AL,2014,DEPUTADO FEDERAL,SD,PARDA,2,2,1.0
305,AL,2014,DEPUTADO FEDERAL,PSDC,PARDA,2,2,1.0
306,AL,2014,DEPUTADO FEDERAL,DEM,BRANCA,2,4,0.5
307,AL,2014,DEPUTADO FEDERAL,DEM,PARDA,2,4,0.5
308,AL,2014,DEPUTADO FEDERAL,PSC,PARDA,1,1,1.0
309,AL,2014,DEPUTADO FEDERAL,PSD,BRANCA,2,2,1.0
310,AL,2014,DEPUTADO FEDERAL,PROS,BRANCA,1,1,1.0
311,AL,2014,DEPUTADO FEDERAL,PTB,BRANCA,1,2,0.5
312,AL,2014,DEPUTADO FEDERAL,PTB,PARDA,1,2,0.5
313,AL,2014,DEPUTADO FEDERAL,PT do B,BRANCA,2,2,1.0
314,AL,2014,DEPUTADO FEDERAL,PDT,BRANCA,1,2,0.5
315,AL,2014,DEPUTADO FEDERAL,PDT,PARDA,1,2,0.5
316,AL,2014,DEPUTADO FEDERAL,PEN,PARDA,2,2,1.0
317,AL,2014,DEPUTADO FEDERAL,PSB,BRANCA,1,4,0.25
318,AL,2014,DEPUTADO FEDERAL,PSB,PARDA,2,4,0.5
319,AL,2014,DEPUTADO FEDERAL,PSB,AMARELA,1,4,0.25
320,AL,2014,DEPUTADO FEDERAL,PSTU,BRANCA,1,1,1.0
321,AL,2014,DEPUTADO FEDERAL,PPL,BRANCA,1,1,1.0
322,AL,2014,DEPUTADO FEDERAL,PR,BRANCA,2,2,1.0
323,AL,2014,DEPUTADO FEDERAL,PV,BRANCA,3,3,1.0
324,AL,2014,DEPUTADO FEDERAL,PHS,PARDA,1,1,1.0
325,AL,2014,DEPUTADO FEDERAL,PTN,PARDA,1,1,1.0
326,AL,2014,DEPUTADO FEDERAL,PRP,BRANCA,1,1,1.0
327,AL,2014,DEPUTADO FEDERAL,PT,PRETA,1,1,1.0
328,AL,2014,SENADOR,PTN,BRANCA,1,1,1.0
